Classes	film	nature	music	athletics	video_game	economics	war	infrastructure_transport	politics	populated_areas	architecture
actor	0.48344	0.01843	0.00752	0.00846	0.06610	0.00346	0.02210	0.00243	0.00817	0.00043	0.00140
actors	0.91473	0.00558	0.00284	0.00135	0.00185	0.00629	0.00349	0.00084	0.00316	0.00027	0.00350
actress	0.37585	0.02368	0.01209	0.00953	0.07601	0.00289	0.02561	0.00329	0.00879	0.00051	0.00123
actresses	0.88372	0.01062	0.00429	0.00171	0.00204	0.00694	0.00317	0.00273	0.00193	0.00026	0.00355
acts	0.01338	0.03101	0.16518	0.00200	0.00246	0.07118	0.00587	0.00362	0.25960	0.00102	0.01996
actual	0.00363	0.01800	0.00070	0.00104	0.00363	0.00346	0.01086	0.88573	0.00123	0.00031	0.01161
actually	0.00262	0.06882	0.00124	0.00129	0.00162	0.00776	0.01074	0.74975	0.00298	0.00032	0.02536
acute	0.00202	0.93167	0.00118	0.00180	0.00053	0.00575	0.00526	0.01151	0.00498	0.00025	0.03770
ad	0.00660	0.02479	0.01349	0.00127	0.00144	0.09144	0.01212	0.19138	0.03815	0.00100	0.05221
ada	0.00331	0.01639	0.09352	0.00494	0.00457	0.02924	0.05377	0.04581	0.04307	0.00078	0.02013
adam	0.01080	0.13701	0.04477	0.00801	0.00829	0.07188	0.02309	0.00832	0.23886	0.00128	0.02979
adams	0.00112	0.86208	0.00345	0.00835	0.00070	0.00890	0.00729	0.04482	0.00405	0.00045	0.03474
adapt	0.73239	0.01567	0.00378	0.00106	0.00134	0.00716	0.01385	0.00300	0.00459	0.00045	0.00729
adaptation	0.95495	0.00447	0.00230	0.00056	0.00131	0.00190	0.00546	0.00157	0.00115	0.00023	0.00364
adaptations	0.82957	0.02540	0.00275	0.00092	0.00288	0.00508	0.00587	0.00415	0.00101	0.00030	0.00616
adapted	0.81558	0.01166	0.00629	0.00080	0.00082	0.00504	0.01240	0.00374	0.00220	0.00041	0.00671
adapting	0.51303	0.01810	0.00653	0.00137	0.00200	0.01913	0.01898	0.00662	0.01008	0.00076	0.00949
adaptive	0.00253	0.40204	0.00060	0.00372	0.00167	0.00261	0.00211	0.51187	0.00142	0.00037	0.07196
add	0.00563	0.01287	0.00163	0.00649	0.01120	0.01007	0.00643	0.41321	0.00362	0.00048	0.08480
added	0.00482	0.00298	0.00101	0.00617	0.00956	0.00314	0.00118	0.02652	0.00103	0.00033	0.84423
addicted	0.00615	0.89344	0.00226	0.00186	0.00123	0.00481	0.00777	0.04438	0.00207	0.00012	0.00785
addiction	0.00229	0.83905	0.00470	0.00316	0.00095	0.00976	0.00577	0.03828	0.00494	0.00021	0.02260
adding	0.00087	0.01585	0.00141	0.00295	0.00206	0.00455	0.00324	0.91251	0.00123	0.00013	0.02728
addison	0.00117	0.12238	0.00128	0.00501	0.00097	0.00390	0.00351	0.77849	0.00172	0.00029	0.02515
addition	0.00314	0.05030	0.00647	0.00246	0.00166	0.04159	0.01058	0.51087	0.01475	0.00083	0.04127
additional	0.00184	0.00932	0.00079	0.00120	0.00554	0.00397	0.00471	0.93188	0.00087	0.00017	0.01566
additionally	0.00204	0.06268	0.00162	0.00230	0.00171	0.00745	0.00550	0.76879	0.00333	0.00042	0.02431
